职能,公司名称,地址,薪资,发布日期
Python开发工程师,深圳市神州动力数码有限公司,深圳-南山区  |  2年经验  |  招2人,0.8-1.2万/月,03-09发布
Python软件工程师 02,深圳市乐思软件技术有限公司,深圳  |  1年经验  |  本科  |  招2人,0.9-1.1万/月,03-09发布
python爬虫工程师,深圳市聚能优电科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,1-2万/月,03-09发布
python后端开发工程师,北京创新在线网络技术有限公司,深圳-福田区  |  2年经验  |  本科  |  招3人,0.9-1.8万/月,03-09发布
Python开发工程师,韩端科技（深圳）有限公司,深圳-龙岗区  |  1年经验  |  本科  |  招2人,1-1.5万/月,03-09发布
Python开发工程师,智臻寰宇高科技（深圳）有限公司,深圳-宝安区  |  1年经验  |  大专  |  招1人,6-8千/月,03-09发布
python,深圳兴融联科技股份有限公司,深圳-南山区  |  2年经验  |  本科  |  招5人,1-1.5万/月,03-09发布
Python工程师,深圳市易佰网络科技有限公司,深圳-龙岗区  |  2年经验  |  大专  |  招2人,1-1.5万/月,03-09发布
Python开发工程师,深圳市易博天下科技有限公司,深圳-南山区  |  2年经验  |  大专  |  招若干人,1.3-2.5万/月,03-09发布
python开发工程师,深圳市紫金支点技术股份有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,0.9-1.2万/月,03-09发布
Python爬虫工程师,深圳市捷晶能源科技有限公司,深圳  |  2年经验  |  大专  |  招1人,7-8.5千/月,03-09发布
Python开发工程师,首影科技（深圳）有限公司,深圳-福田区  |  2年经验  |  大专  |  招2人,0.8-1.6万/月,03-09发布
软件开发工程师（Python),德硕管理咨询（深圳）有限公司,深圳-福田区  |  2年经验  |  大专  |  招若干人,0.8-1.5万/月,03-09发布
Python开发工程师,深圳市科高新材料有限公司,深圳-南山区  |  2年经验  |  本科  |  招5人,1-2万/月,03-09发布
Python开发工程师,深圳市神机量化技术有限公司,深圳-福田区  |  2年经验  |  大专  |  招2人,1.5-3万/月,03-09发布
Python开发工程师,上海讯真信息科技有限公司,深圳-福田区  |  2年经验  |  大专  |  招1人,1.5-2万/月,03-09发布
python工程师,深圳市瓦力自动化有限公司,深圳-宝安区  |  2年经验  |  本科  |  招2人,1-1.5万/月,03-09发布
研发工程师（C++/Python）,南凌科技股份有限公司,深圳-南山区  |  2年经验  |  本科  |  招2人,1.5-2.5万/月,03-09发布
Python开发工程师,成都迈思信息技术有限公司,深圳  |  1年经验  |  本科  |  招若干人,1-1.5万/月,03-09发布
Python开发工程师,深圳市掌世界网络科技有限公司,深圳-罗湖区  |  2年经验  |  大专  |  招1人,1-1.5万/月,03-09发布
python开发工程师,百丽新零售,深圳-南山区  |  2年经验  |  本科  |  招1人,1.2-1.8万/月,03-09发布
python后端开发/双休/大平台/技术大牛,深圳十方融海科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招4人,1-1.8万/月,03-09发布
Python开发工程师,云智汇（深圳）高新科技服务有限公司,深圳-龙岗区  |  2年经验  |  本科  |  招1人,0.9-1.1万/月,03-09发布
Python开发工程师,四川准达信息技术股份有限公司,深圳-南山区  |  2年经验  |  本科  |  招45人,0.9-1万/月,03-09发布
Python开发工程师,深圳市鼎驰科技发展有限公司,深圳-福田区  |  2年经验  |  本科  |  招2人,0.9-1.2万/月,03-09发布
初级Python开发工程师,埃克斯工业（广东）有限公司,深圳-南山区  |  1年经验  |  本科  |  招2人,0.8-1.5万/月,03-09发布
Python开发工程师,深圳市道合顺电子科技有限公司,深圳-福田区  |  2年经验  |  本科  |  招1人,1.5-3万/月,03-09发布
Python开发工程师,深圳市广联智通科技有限公司,深圳  |  2年经验  |  本科  |  招1人,1-1.5万/月,03-09发布
python工程师,深圳市猎芯科技有限公司,深圳-龙岗区  |  1年经验  |  大专  |  招1人,1-2万/月,03-09发布
Python爬虫工程师,深圳市远古科技有限公司,深圳-龙岗区  |  2年经验  |  大专  |  招1人,1-2万/月,03-09发布
Python数据开发,南京争锋信息科技有限公司,深圳-福田区  |  1年经验  |  大专  |  招若干人,1-2万/月,03-09发布
Python开发工程师,深圳市博悦科创科技有限公司,深圳-福田区  |  2年经验  |  本科  |  招2人,1.1-1.6万/月,03-09发布
Python工程师,深圳市维度数据科技股份有限公司,深圳-罗湖区  |  2年经验  |  本科  |  招1人,0.8-1.5万/月,03-09发布
python QT程序开发工程师,深圳市泰达机器人有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,0.8-1.2万/月,03-09发布
Python开发工程师,深圳市微特精密科技股份有限公司,深圳-宝安区  |  1年经验  |  大专  |  招2人,1-2万/月,03-09发布
Python高级开发工程师,深圳湛正实业有限公司,深圳-罗湖区  |  2年经验  |  招5人,1-1.5万/月,03-09发布
Python开发工程师/前端/爬虫,深圳市群智欣信息科技有限公司,深圳-南山区  |  1年经验  |  大专  |  招3人,4.5-6千/月,03-09发布
软件开发工程师(Python后端),深圳君同云科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招2人,0.6-1.5万/月,03-09发布
Python开发工程师,深圳华会科技有限公司,深圳-龙华区  |  2年经验  |  本科  |  招2人,0.8-1.5万/月,03-09发布
Python高级开发工程师,深圳市汇泉教育科技有限责任公司,深圳-南山区  |  2年经验  |  本科  |  招5人,0.8-1.2万/月,03-09发布
Python后端开发工程师,牛剑教育科技（深圳）有限公司,深圳-福田区  |  1年经验  |  本科  |  招1人,1.2-2万/月,03-08发布
PYTHON（自测方向）,上海子蓝信息科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招3人,1-1.5万/月,03-08发布
python开发工程师,深圳市丽海弘金科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招2人,1.2-2万/月,03-08发布
Python开发工程师,上海金盏企业管理有限公司深圳分公司,深圳-南山区  |  1年经验  |  本科  |  招5人,1-1.5万/月,03-08发布
Python开发工程师（RPA方向）,百思特管理咨询有限公司,深圳-南山区  |  1年经验  |  本科  |  招10人,0.7-2万/月,03-08发布
Python开发工程师,优车库网络科技发展（深圳）有限公司,深圳-福田区  |  2年经验  |  本科  |  招若干人,0.8-1.5万/月,03-08发布
Python初级开发工程师,深圳市易达恒通供应链管理有限公司,深圳-福田区  |  2年经验  |  大专  |  招1人,6-8千/月,03-08发布
Python后台开发工程师,深圳萨摩耶数字科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1-1.5万/月,03-08发布
Python后台开发工程师,深圳市智影医疗科技有限公司,深圳  |  1年经验  |  本科  |  招1人,0.8-1.5万/月,03-08发布
软件开发工程师(Python/QT),深圳市信润富联数字科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,1.2-2.3万/月,03-08发布
Python 爬虫开发工程师,深圳市迈维智视科技有限公司,深圳  |  2年经验  |  本科  |  招1人,1.2-2万/月,03-08发布
软件开发工程师Python（深圳）,杭州宏杉科技股份有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,1.2-2万/月,03-08发布
python/PHP开发工程师,深圳瑞德林生物技术有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,0.8-1.8万/月,03-07发布
Python开发工程师,深圳市三一九科技有限公司,深圳-龙华区  |  1年经验  |  大专  |  招若干人,0.8-1.5万/月,03-06发布
python爬虫工程师（双休+奖金）,辰星网络科技,深圳  |  1年经验  |  大专  |  招6人,4-8千/月,03-06发布
Python开发工程师,达观数据,深圳  |  1年经验  |  本科  |  招若干人,1.2-2.4万/月,03-06发布
Python开发工程师,上海佳锐信息科技股份有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1-1.5万/月,03-05发布
中级Python开发工程师,深圳市海云天科技股份有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,1-1.5万/月,03-05发布
Python工程师,深圳市柠檬树科技有限公司,深圳-龙岗区  |  2年经验  |  大专  |  招1人,1.2-1.5万/月,03-05发布
Python开发工程师,深圳兆日科技股份有限公司,深圳-福田区  |  2年经验  |  本科  |  招1人,1.1-2万/月,03-04发布
Python数据工程师,深圳虾皮信息科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,0.9-1.8万/月,03-04发布
Python 爬虫工程师,21世纪报系,异地招聘  |  2年经验  |  本科  |  招1人,1-2万/月,03-04发布
Python开发工程师,深圳小火花软件科技有限公司,深圳-福田区  |  2年经验  |  本科  |  招若干人,0.7-1.4万/月,03-04发布
软件工程师(Python),深圳微品致远信息科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,1.5-2.5万/月,03-03发布
Python开发工程师,智高点知识产权集团有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,0.8-1万/月,03-02发布
python爬虫,深圳市百能信息技术有限公司,深圳-福田区  |  2年经验  |  大专  |  招1人,1.5-2万/月,03-02发布
Python后端工程师,深圳鼎然信息科技有限公司,深圳-福田区  |  1年经验  |  本科  |  招1人,1-2万/月,03-02发布
高级Python工程师,深圳市赛纳电子科技有限公司,深圳-龙华区  |  2年经验  |  本科  |  招2人,1-1.8万/月,03-01发布
Python开发工程师,深圳小安时代互联网金融服务有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1.2-1.8万/月,03-01发布
